bulan;kedatangan
Januari;4842
Februari;5337
Maret;5327
April;6900
Mei;4091
Juni;8229
Juli;3992
Agustus;6787
September;7630
Oktober;8703
November;7591
Desember;9744
Januari;4936
Februari;2511
Maret;2895
April;877
Mei;574
Juni;1865
Juli;1260
Agustus;471
September;0
Oktober;115
November;212
Desember;994
Januari;14776
Februari;13361
Maret;15037
April;15234
Mei;16266
Juni;14654
Juli;16676
Agustus;16789
September;14615
Oktober;15363
November;15609
Desember;18088
Januari;14776
Februari;13361
Maret;15037
April;15234
Mei;16266
Juni;14654
Juli;16676
Agustus;16789
September;14615
Oktober;15363
November;15609
Desember;18088
Januari;209291
Februari;184412
Maret;197775
April;195263
Mei;260560
Juni;208740
Juli;274903
Agustus;262434
September;247056
Oktober;240761
November;237239
Desember;284617
Januari;275889
Februari;228762
Maret;268963
April;249571
Mei;278545
Juni;210723
Juli;347792
Agustus;298904
September;317126
Oktober;316672
November;316104
Desember;328167
Januari;329190
Februari;285821
Maret;320897
April;321219
Mei;278459
Juni;290320
Juli;362644
Agustus;324459
September;308880
Oktober;317967
November;277332
Desember;297394
Januari;269592
Februari;224813
Maret;253198
April;233055
Mei;189566
Juni;274262
Juli;293524
Agustus;265912
September;259079
Oktober;266401
November;288405
Desember;290252
Januari;253178
Februari;232431
Maret;197275
April;33192
Mei;1639
Juni;10087
Juli;32242
Agustus;60726
September;41121
Oktober;52841
November;55659
Desember;53591
Januari;1277
Februari;1123
Maret;1662
April;1670
Mei;1543
Juni;1915
Juli;1076
Agustus;1086
September;1319
Oktober;1478
November;1517
Desember;1652
Januari;47808
Februari;0
Maret;1
April;9
Mei;0
Juni;0
Juli;0
Agustus;12
September;53496
Oktober;111209
November;124014
Desember;141121
